x,y,z
33,33,18
0,5,18
38,30,31
1,19,27
35,22,4
16,32,17
31,36,34
20,38,9
14,29,31
16,20,4
27,17,38
30,26,18
1,14,16
10,7,27
3,16,12
22,15,32
29,14,26
28,9,31
25,31,36
28,26,34
39,7,13
39,29,12
0,6,18
25,21,32
25,12,28
28,36,2
8,9,12
19,13,8
23,6,16
6,5,34
4,27,33
14,3,37
21,23,28
32,4,18
14,22,29
25,37,32
35,36,22
26,8,23
25,38,39
7,29,27
16,25,39
2,13,10
19,15,0
29,19,27
37,9,4
33,12,7
15,28,25
39,21,22
28,6,35
31,32,32
18,14,25
11,34,22
5,31,35
7,29,36
27,34,13
16,26,29
0,34,7
1,6,17
34,37,20
24,18,14
2,7,11
20,2,22
22,5,26
27,39,5
11,21,1
29,23,13
38,32,20
27,25,2
17,7,20
29,30,18
15,28,39
30,20,27
19,21,38
5,28,4
28,17,7
29,15,27
24,27,3
4,21,36
38,39,14
36,24,15
11,4,11
4,35,29
38,30,23
37,0,39
18,27,8
15,21,1
30,6,33
33,7,17
23,8,21
17,24,37
22,22,13
20,29,7
9,25,8
13,18,12
35,24,18
23,2,16
23,16,31
31,22,27
39,35,16
12,10,17
1,25,22
16,7,16
18,11,37
7,7,17
24,37,24
19,8,1
37,4,30
17,2,39
12,22,6
23,11,26
9,10,4
0,9,28
15,24,9
0,0,18
27,13,2
18,29,32
25,38,13
36,28,31
8,24,20
25,18,31
0,20,20
33,30,18
17,23,34
22,29,9
15,10,23
29,24,14
17,35,4
39,25,22
33,36,31
0,23,9
25,37,22
11,15,10
13,32,24
10,25,9
30,2,39
28,33,4
22,2,27
33,23,21
14,11,38
4,26,6
3,29,31
19,30,37
25,24,38
30,1,6
22,10,27
10,2,6
6,17,20
32,32,17
38,15,29
33,8,24
24,11,3
20,4,15
13,34,12
0,38,10
22,10,14
7,3,35
31,11,24
38,20,17
7,16,28
9,19,0
11,6,4
17,2,6
22,11,0
38,18,34
28,21,21
25,0,2
32,2,4
20,26,19
20,23,15
31,33,28
34,13,31
27,15,26
28,2,4
26,9,29
15,17,25
36,38,11
8,16,3
7,31,24
12,25,31
5,10,22
39,22,38
4,37,10
30,1,9
2,0,18
28,1,38
29,18,15
35,10,8
8,0,10
32,21,28
23,39,32
24,27,36
2,7,17
23,14,8
13,28,22
18,31,19
28,10,15
33,38,2
36,36,11
6,18,35
24,32,34
6,3,31
5,0,27
5,34,10
11,10,24
39,25,15
37,8,27
19,4,36
24,36,23
5,33,27
1,14,35
13,24,5
16,34,15
12,6,23
36,27,35
37,13,18
28,22,27
23,9,3
5,24,10
27,11,6
16,15,15
10,31,38
33,7,20
29,7,22
18,33,6
17,25,6
19,13,6
2,30,5
19,5,2
26,6,31
38,23,34
6,18,26
34,38,8
32,6,32
10,29,18
6,17,33
27,12,5
6,13,27
27,5,12
37,35,14
15,22,25
13,32,33
16,8,6
28,33,37
0,23,27
22,18,25
7,9,17
0,4,19
37,38,26
0,7,38
14,5,28
5,5,38
4,36,11
1,13,36
15,10,29
29,9,17
7,9,9
14,9,11
3,30,12
8,0,25
24,39,15
27,25,25
32,9,34
35,13,33
18,21,25
34,21,16
39,26,38
1,31,37
14,30,26
28,17,32
20,8,25
13,1,8
28,19,27
38,13,30
9,5,31
23,36,1
28,27,15
31,9,33
21,33,9
13,0,25
27,38,14
7,20,31
14,0,3
9,31,39
17,20,31
38,39,24
5,18,22
13,12,10
3,34,7
39,34,38
20,8,11
14,39,23
36,6,36
6,15,15
26,20,8
12,27,25
15,32,35
22,23,34
21,10,14
35,4,39
23,28,30
15,26,18
17,15,1
25,5,22
25,20,10
28,31,20
29,33,29
6,34,4
37,29,14
1,28,18
14,30,1
5,32,27
11,29,36
15,11,3
7,11,29
31,0,17
14,6,5
39,39,39
16,5,36
35,24,3
4,20,32
15,15,29
26,24,25
9,17,1
38,30,2
39,37,23
4,14,27
30,3,33
18,27,20
37,1,19
30,38,21
3,26,18
30,36,39
13,18,24
39,35,12
0,32,32
26,13,7
9,18,6
29,10,7
22,35,22
5,39,13
2,34,13
4,11,0
0,3,29
10,1,26
37,32,26
6,10,23
34,0,19
17,26,7
16,22,11
16,15,30
12,26,34
6,0,12
31,27,21
9,20,3
27,9,14
30,5,8
24,37,23
27,37,8
27,36,37
11,6,29
39,33,16
27,12,38
29,24,13
5,33,1
29,17,8
37,24,38
13,23,14
1,14,34
39,34,8
12,29,12
37,6,9
22,1,9
16,4,39
37,33,8
35,7,21
27,29,18
25,32,14
26,0,6
11,18,32
13,39,28
25,16,35
33,28,24
27,16,7
23,3,23
15,30,15
22,0,14
35,8,11
23,26,6
4,25,38
14,39,15
17,10,23
28,31,4
9,19,35
10,30,31
17,4,29
28,39,12
19,4,3
35,4,36
20,37,20
0,30,23
8,27,16
20,37,21
26,4,34
8,31,25
33,35,5
21,14,9
0,17,39
22,12,5
15,26,22
38,37,29
27,23,19
2,23,34
1,24,13
33,36,7
30,21,13
22,29,33
21,11,5
18,38,24
31,27,12
35,28,29
26,39,3
31,12,9
27,19,4
16,20,0
13,17,21
12,9,39
10,26,35
10,22,21
4,36,6
19,21,6
12,29,26
26,38,19
10,22,19
18,11,30
35,30,15
37,17,21
29,34,21
8,38,0
10,19,34
28,35,15
